fecha,año,NDVI,id_district
Mar 22,1985,0.07,4
Feb 14,1995,0.053,4
Dec 31,1995,0.068,4
Aug 30,1997,0.067,4
Jan 29,2001,0.052,4
Jan 11,2003,0.065,4
Jan 30,2004,0.049,4
Feb 7,2007,0.056,4
Feb 23,2007,0.057,4
Sep 24,2009,0.05,4
Dec 13,2009,0.065,4
Dec 29,2009,0.059,4
Jan 14,2010,0.053,4
Jan 17,2011,0.062,4
Mar 27,2013,0.075,4
Jan 4,2015,0.021,4
Jan 15,2016,0.056,4
Mar 17,2018,0.022,4
Aug 16,2018,0.058,4
Sep 17,2018,0.064,4
Dec 30,2018,0.021,4
Jan 10,2020,0.075,4
Feb 11,2020,0.062,4
Sep 22,2020,0.073,4
Dec 14,2021,0.074,4
