fecha,año,NDWI,id_district
Mar 22,1985,-0.025,4
Feb 14,1995,-0.024,4
Dec 31,1995,0.023,4
Aug 30,1997,-0.022,4
Jan 29,2001,-0.038,4
Jan 11,2003,-0.017,4
Jan 30,2004,-0.028,4
Feb 7,2007,-0.024,4
Feb 23,2007,-0.022,4
Sep 24,2009,-0.022,4
Dec 13,2009,-0.018,4
Dec 29,2009,-0.021,4
Jan 14,2010,-0.022,4
Jan 17,2011,-0.027,4
Mar 27,2013,-0.016,4
Jan 4,2015,-0.074,4
Jan 15,2016,-0.038,4
Mar 17,2018,-0.072,4
Aug 16,2018,-0.021,4
Sep 17,2018,-0.028,4
Dec 30,2018,-0.071,4
Jan 10,2020,-0.021,4
Feb 11,2020,-0.025,4
Sep 22,2020,-0.01,4
Dec 14,2021,-0.018,4
