fecha,año,NDVI,id_district
Mar 22, 1985,0.12,5
Feb 14, 1995,0.09,5
Dec 31, 1995,0.119,5
Aug 30, 1997,0.102,5
Jan 29, 2001,0.088,5
Jan 11, 2003,0.099,5
Jan 30, 2004,0.088,5
Feb 7, 2007,0.079,5
Feb 23, 2007,0.084,5
Sep 24, 2009,0.012,5
Dec 13, 2009,0.099,5
Dec 29, 2009,0.101,5
Jan 14, 2010,0.104,5
Jan 17, 2011,0.089,5
Mar 27, 2013,0.106,5
Jan 4, 2015,0.016,5
Jan 15, 2016,0.079,5
Mar 17, 2018,0.017,5
Aug 16, 2018,0.032,5
Sep 17, 2018,0.094,5
Dec 30, 2018,0.017,5
Jan 10, 2020,0.113,5
Feb 11, 2020,0.1,5
Sep 22, 2020,0.105,5
Dec 14, 2021,0.107,5
