fecha,año,NDWI,id_district
Mar 22, 1985,-0.011,5
Feb 14, 1995,-0.017,5
Dec 31, 1995,0.009,5
Aug 30, 1997,-0.01,5
Jan 29, 2001,-0.02,5
Jan 11, 2003,-0.003,5
Jan 30, 2004,-0.012,5
Feb 7, 2007,-0.018,5
Feb 23, 2007,-0.015,5
Sep 24, 2009,-0.046,5
Dec 13, 2009,-0.002,5
Dec 29, 2009,0.004,5
Jan 14, 2010,-0.003,5
Jan 17, 2011,-0.01,5
Mar 27, 2013,-0.007,5
Jan 4, 2015,-0.101,5
Jan 15, 2016,-0.017,5
Mar 17, 2018,-0.107,5
Aug 16, 2018,-0.029,5
Sep 17, 2018,-0.015,5
Dec 30, 2018,-0.103,5
Jan 10, 2020,0.003,5
Feb 11, 2020,-0.004,5
Sep 22, 2020,0.007,5
Dec 14, 2021,0.002,5
