fecha,año,NDVI,id_district
Mar 22,1985,0.166,6
Feb 14,1995,0.133,6
Dec 31,1995,0.184,6
Aug 30,1997,0.153,6
Jan 29,2001,0.127,6
Jan 11,2003,0.146,6
Jan 30,2004,0.145,6
Feb 7,2007,0.116,6
Feb 23,2007,0.114,6
Sep 24,2009,0.039,6
Dec 13,2009,0.145,6
Dec 29,2009,0.147,6
Jan 14,2010,0.137,6
Jan 17,2011,0.146,6
Mar 27,2013,0.15,6
Jan 4,2015,0.011,6
Jan 15,2016,0.127,6
Mar 17,2018,0.014,6
Aug 16,2018,0.116,6
Sep 17,2018,0.131,6
Dec 30,2018,0.014,6
Jan 10,2020,0.147,6
Feb 11,2020,0.128,6
Sep 22,2020,0.14,6
Dec 14,2021,0.145,6
