fecha,año,NDWI,id_district
Mar 22,1985,-0.012,6
Feb 14,1995,-0.01,6
Dec 31,1995,0.049,6
Aug 30,1997,0.008,6
Jan 29,2001,-0.008,6
Jan 11,2003,0.018,6
Jan 30,2004,0.026,6
Feb 7,2007,-0.001,6
Feb 23,2007,-0.006,6
Sep 24,2009,-0.038,6
Dec 13,2009,0.027,6
Dec 29,2009,0.037,6
Jan 14,2010,0.016,6
Jan 17,2011,0.028,6
Mar 27,2013,0.027,6
Jan 4,2015,-0.144,6
Jan 15,2016,0.003,6
Mar 17,2018,-0.138,6
Aug 16,2018,0.008,6
Sep 17,2018,0.013,6
Dec 30,2018,-0.137,6
Jan 10,2020,0.029,6
Feb 11,2020,0.017,6
Sep 22,2020,0.036,6
Dec 14,2021,0.03,6
