fecha,año,NDVI
Dec 25, 1984,0.068
Dec 25, 1984,0.067
Aug 6, 1985,0.001
Sep 7, 1985,0.019
Apr 19, 1986,0.052
May 5, 1986,0.08
May 5, 1986,0.081
Aug 9, 1986,-0.001
Oct 28, 1986,0.077
Nov 29, 1986,-0.051
Dec 15, 1986,0.043
Mar 5, 1987,0.08
Mar 5, 1987,0.081
Apr 6, 1987,0.075
May 24, 1987,0.073
May 24, 1987,0.074
Jun 9, 1987,0.007
Jul 27, 1987,0.006
Aug 12, 1987,0.004
Oct 31, 1987,-0.123
Dec 18, 1987,0.075
Jan 3, 1988,0.075
Feb 4, 1988,0.068
Mar 23, 1988,0.076
Apr 8, 1988,0.076
May 10, 1988,0.018
Jun 11, 1988,-0.001
Jul 29, 1988,0.005
Aug 14, 1988,-0.006
Oct 1, 1988,-0.065
Nov 2, 1988,0.073
Apr 27, 1989,0.004
May 13, 1989,0.073
Jun 14, 1989,-0.005
Jul 16, 1989,0.001
Oct 4, 1989,0.015
Nov 21, 1989,-0.214
Dec 7, 1989,0.066
Jan 8, 1990,0.052
Jan 24, 1990,0.054
Feb 9, 1990,0.071
Feb 9, 1990,0.071
Mar 29, 1990,0.073
Mar 29, 1990,0.073
Apr 14, 1990,0.076
Apr 30, 1990,0.07
Apr 30, 1990,0.07
May 16, 1990,0.009
Jun 17, 1990,-0.008
Jun 17, 1990,-0.001
Jul 19, 1990,0.002
Aug 4, 1990,0.005
Jan 27, 1991,0.021
Feb 28, 1991,0.027
Apr 1, 1991,0.08
Apr 1, 1991,0.079
Apr 17, 1991,0.007
May 19, 1991,0.009
Jun 4, 1991,0.002
Jun 20, 1991,0.006
Jul 6, 1991,0.016
Aug 7, 1991,0.006
Aug 23, 1991,0.013
Nov 11, 1991,0.006
Dec 13, 1991,0.062
Dec 13, 1991,0.062
Jan 14, 1992,0.042
Jan 30, 1992,0.061
Jan 30, 1992,0.061
Feb 15, 1992,0.001
Mar 18, 1992,0.068
May 5, 1992,0.069
May 21, 1992,0.001
May 21, 1992,0
Jun 6, 1992,0.004
Jun 6, 1992,0.003
Jul 8, 1992,0.001
Jul 24, 1992,-0.001
Aug 9, 1992,0.012
Oct 28, 1992,-0.164
Nov 13, 1992,0.059
Nov 13, 1992,0.064
Dec 15, 1992,-0.007
Dec 31, 1992,0.058
Feb 17, 1993,0.069
Feb 17, 1993,0.069
Mar 21, 1993,-0.005
May 24, 1993,0.018
Jun 25, 1993,0.033
Aug 28, 1993,-0.011
Oct 31, 1993,0.006
Jan 19, 1994,0.058
Mar 8, 1994,0.074
Mar 24, 1994,0.051
Apr 25, 1994,0.04
May 27, 1994,0.061
May 27, 1994,0.062
Jun 28, 1994,0.001
Jun 28, 1994,0.002
Jul 14, 1994,0.009
Aug 15, 1994,-0.009
Oct 2, 1994,-0.235
Dec 21, 1994,-0.264
Feb 7, 1995,0.04
Feb 7, 1995,0.042
Mar 27, 1995,0.036
Apr 28, 1995,0.01
May 14, 1995,0.062
May 14, 1995,0.063
May 30, 1995,0.029
May 30, 1995,0.028
Jun 15, 1995,0.002
Jun 15, 1995,0.003
Jul 17, 1995,-0
Aug 2, 1995,0.008
Oct 21, 1995,-0.096
Nov 22, 1995,0.003
Mar 13, 1996,0.034
Mar 13, 1996,0.034
Apr 14, 1996,0.072
Apr 14, 1996,0.073
May 16, 1996,0.003
May 16, 1996,0.003
Jun 1, 1996,0.011
Jun 17, 1996,0.004
Jul 3, 1996,0.004
Jul 19, 1996,0.007
Aug 4, 1996,0.007
Jan 27, 1997,0.017
Feb 12, 1997,0.072
Apr 1, 1997,0.004
Jun 4, 1997,0.007
Jul 6, 1997,0.003
Jul 22, 1997,0.018
Aug 23, 1997,-0.025
Sep 8, 1997,-0.119
Sep 24, 1997,0.048
Sep 24, 1997,0.048
Mar 3, 1998,0.025
Mar 19, 1998,0
Apr 4, 1998,0.057
May 6, 1998,0.076
May 6, 1998,0.077
Jun 7, 1998,0.002
Jun 23, 1998,0.005
Jul 9, 1998,-0.003
Aug 10, 1998,-0.004
Sep 11, 1998,-0.169
Sep 27, 1998,-0.09
Jan 1, 1999,0.001
Mar 22, 1999,0.07
Apr 23, 1999,0.065
May 9, 1999,0.059
May 25, 1999,0.052
Jun 10, 1999,0.03
Jul 12, 1999,0.002
Jul 28, 1999,-0.002
Aug 5, 1999,-0.107
Aug 13, 1999,-0.011
Aug 21, 1999,-0.249
Sep 6, 1999,-0.001
Sep 14, 1999,-0.207
Sep 14, 1999,-0.219
Sep 30, 1999,0.009
Nov 9, 1999,0.01
Nov 17, 1999,0.003
Dec 3, 1999,0.057
Dec 11, 1999,0.055
Feb 13, 2000,0.022
Apr 25, 2000,0.038
May 3, 2000,0.061
May 11, 2000,-0
May 27, 2000,0.049
Jun 12, 2000,-0.012
Jun 28, 2000,-0.004
Jul 6, 2000,-0.243
Jul 14, 2000,-0.004
Jul 22, 2000,-0.005
Jul 30, 2000,0.006
Aug 15, 2000,-0.014
Aug 31, 2000,-0.229
Sep 8, 2000,-0.297
Sep 24, 2000,0.011
Nov 11, 2000,-0.039
Nov 19, 2000,0.063
Nov 19, 2000,0.064
Dec 5, 2000,0.068
Dec 13, 2000,0.019
Dec 21, 2000,0.078
Jan 22, 2001,0.011
Apr 4, 2001,0.065
Apr 12, 2001,0.069
Apr 20, 2001,0.058
Apr 28, 2001,0.05
May 6, 2001,-0.27
May 22, 2001,-0.018
Jun 15, 2001,-0.008
Jun 23, 2001,0.017
Jul 1, 2001,-0.007
Jul 17, 2001,0.001
Jul 25, 2001,-0.004
Aug 2, 2001,-0.002
Aug 18, 2001,-0.183
Aug 26, 2001,-0.026
Sep 19, 2001,-0.087
Jan 9, 2002,0.076
Jan 17, 2002,0.066
Jan 17, 2002,0.067
Feb 26, 2002,0.05
Mar 6, 2002,0.061
Mar 22, 2002,0.068
Apr 15, 2002,0.001
Jun 10, 2002,0.03
Jun 26, 2002,-0.014
Aug 29, 2002,-0.299
Feb 21, 2003,0.068
Mar 9, 2003,0.067
Mar 25, 2003,0.066
Jul 7, 2003,-0.006
Jul 7, 2003,-0.006
Jul 15, 2003,-0.168
Jul 23, 2003,-0.006
Jul 31, 2003,-0.203
Aug 8, 2003,-0.001
Aug 16, 2003,0.059
Oct 19, 2003,-0.314
Nov 4, 2003,-0.193
Nov 12, 2003,-0.025
Jan 23, 2004,0.068
Jan 31, 2004,0.06
Feb 24, 2004,0.068
Mar 3, 2004,0.063
Apr 4, 2004,0.069
Apr 12, 2004,0.037
Apr 20, 2004,0.007
May 6, 2004,-0.002
May 6, 2004,0.004
May 14, 2004,-0.005
May 22, 2004,0.001
May 22, 2004,0.003
May 30, 2004,-0.007
Jun 15, 2004,-0.134
Jul 9, 2004,-0.007
Aug 2, 2004,-0.128
Aug 26, 2004,-0.123
Dec 8, 2004,0.047
Jan 17, 2005,0.034
Jan 17, 2005,0.035
Jan 25, 2005,0.058
Feb 10, 2005,0.053
Mar 14, 2005,-0.169
Mar 22, 2005,0.067
Apr 7, 2005,0.065
Apr 15, 2005,0.057
Apr 23, 2005,0.016
May 1, 2005,0.058
May 9, 2005,0.001
May 25, 2005,0.01
Jun 2, 2005,-0.031
Jun 10, 2005,-0.01
Jun 18, 2005,0.009
Jun 26, 2005,-0.002
Jul 4, 2005,-0.022
Jul 12, 2005,-0.007
Jul 28, 2005,-0.007
