fecha,año,NDWI
Dec 25, 1984,-0.014
Dec 25, 1984,-0.015
Aug 6, 1985,0.134
Sep 7, 1985,0.017
Apr 19, 1986,0.006
May 5, 1986,-0.031
May 5, 1986,-0.031
Aug 9, 1986,0.081
Oct 28, 1986,-0.022
Nov 29, 1986,-0.043
Dec 15, 1986,-0.021
Mar 5, 1987,-0.022
Mar 5, 1987,-0.022
Apr 6, 1987,-0.022
May 24, 1987,-0.021
May 24, 1987,-0.022
Jun 9, 1987,0.059
Jul 27, 1987,0.05
Aug 12, 1987,0.131
Oct 31, 1987,0.009
Dec 18, 1987,-0.031
Jan 3, 1988,-0.028
Feb 4, 1988,-0.02
Mar 23, 1988,-0.023
Apr 8, 1988,-0.035
May 10, 1988,0.01
Jun 11, 1988,0.083
Jul 29, 1988,0.091
Aug 14, 1988,0.133
Oct 1, 1988,-0.091
Nov 2, 1988,-0.03
Apr 27, 1989,0.038
May 13, 1989,-0.025
Jun 14, 1989,0.122
Jul 16, 1989,0.043
Oct 4, 1989,0.062
Nov 21, 1989,-0.188
Dec 7, 1989,-0.018
Jan 8, 1990,-0.017
Jan 24, 1990,-0.006
Feb 9, 1990,-0.019
Feb 9, 1990,-0.019
Mar 29, 1990,-0.025
Mar 29, 1990,-0.025
Apr 14, 1990,-0.027
Apr 30, 1990,-0.027
Apr 30, 1990,-0.027
May 16, 1990,0.023
Jun 17, 1990,0.136
Jun 17, 1990,0.123
Jul 19, 1990,0.097
Aug 4, 1990,0.042
Jan 27, 1991,0.019
Feb 28, 1991,0.01
Apr 1, 1991,-0.028
Apr 1, 1991,-0.027
Apr 17, 1991,0.017
May 19, 1991,0.048
Jun 4, 1991,0.114
Jun 20, 1991,0.082
Jul 6, 1991,0.007
Aug 7, 1991,0.104
Aug 23, 1991,0.061
Nov 11, 1991,-0.019
Dec 13, 1991,-0.021
Dec 13, 1991,-0.02
Jan 14, 1992,-0.016
Jan 30, 1992,-0.021
Jan 30, 1992,-0.021
Feb 15, 1992,0.04
Mar 18, 1992,-0.034
May 5, 1992,-0.028
May 21, 1992,0.027
May 21, 1992,0.028
Jun 6, 1992,0.063
Jun 6, 1992,0.065
Jul 8, 1992,0.097
Jul 24, 1992,0.097
Aug 9, 1992,0.075
Oct 28, 1992,-0.097
Nov 13, 1992,-0.029
Nov 13, 1992,-0.032
Dec 15, 1992,-0.045
Dec 31, 1992,-0.022
Feb 17, 1993,-0.029
Feb 17, 1993,-0.028
Mar 21, 1993,0.052
May 24, 1993,-0.006
Jun 25, 1993,0.015
Aug 28, 1993,0.13
Oct 31, 1993,-0.095
Jan 19, 1994,-0.001
Mar 8, 1994,-0.023
Mar 24, 1994,-0.024
Apr 25, 1994,-0.004
May 27, 1994,-0.021
May 27, 1994,-0.021
Jun 28, 1994,0.084
Jun 28, 1994,0.086
Jul 14, 1994,0.086
Aug 15, 1994,0.131
Oct 2, 1994,0.168
Dec 21, 1994,0.112
Feb 7, 1995,-0.004
Feb 7, 1995,-0.004
Mar 27, 1995,-0.019
Apr 28, 1995,0.012
May 14, 1995,-0.028
May 14, 1995,-0.028
May 30, 1995,-0.005
May 30, 1995,-0.008
Jun 15, 1995,0.109
Jun 15, 1995,0.109
Jul 17, 1995,0.103
Aug 2, 1995,0.078
Oct 21, 1995,0.098
Nov 22, 1995,0.012
Mar 13, 1996,0.065
Mar 13, 1996,0.058
Apr 14, 1996,-0.031
Apr 14, 1996,-0.031
May 16, 1996,0.085
May 16, 1996,0.085
Jun 1, 1996,0.043
Jun 17, 1996,0.158
Jul 3, 1996,0.096
Jul 19, 1996,0.086
Aug 4, 1996,0.088
Jan 27, 1997,0.018
Feb 12, 1997,-0.025
Apr 1, 1997,0.029
Jun 4, 1997,0.098
Jul 6, 1997,0.104
Jul 22, 1997,0.007
Aug 23, 1997,0.074
Sep 8, 1997,0.1
Sep 24, 1997,-0.017
Sep 24, 1997,-0.009
Mar 3, 1998,0.027
Mar 19, 1998,0.062
Apr 4, 1998,-0.024
May 6, 1998,-0.033
May 6, 1998,-0.033
Jun 7, 1998,0.131
Jun 23, 1998,0.013
Jul 9, 1998,0.095
Aug 10, 1998,0.055
Sep 11, 1998,0.128
Sep 27, 1998,0.026
Jan 1, 1999,0.047
Mar 22, 1999,-0.028
Apr 23, 1999,-0.03
May 9, 1999,-0.029
May 25, 1999,-0.01
Jun 10, 1999,-0.001
Jul 12, 1999,0.039
Jul 28, 1999,0.13
Aug 5, 1999,0.29
Aug 13, 1999,0.111
Aug 21, 1999,0.105
Sep 6, 1999,0.182
Sep 14, 1999,0.133
Sep 14, 1999,0.127
Sep 30, 1999,0.006
Nov 9, 1999,-0.045
