fecha,año,NDWI,id_district
Dec 25,1984,-0.014,1
Dec 25,1984,-0.015,1
Aug 6,1985,0.134,1
Sep 7,1985,0.017,1
Apr 19,1986,0.006,1
May 5,1986,-0.031,1
May 5,1986,-0.031,1
Aug 9,1986,0.081,1
Oct 28,1986,-0.022,1
Nov 29,1986,-0.043,1
Dec 15,1986,-0.021,1
Mar 5,1987,-0.022,1
Mar 5,1987,-0.022,1
Apr 6,1987,-0.022,1
May 24,1987,-0.021,1
May 24,1987,-0.022,1
Jun 9,1987,0.059,1
Jul 27,1987,0.05,1
Aug 12,1987,0.131,1
Oct 31,1987,0.009,1
Dec 18,1987,-0.031,1
Jan 3,1988,-0.028,1
Feb 4,1988,-0.02,1
Mar 23,1988,-0.023,1
Apr 8,1988,-0.035,1
May 10,1988,0.01,1
Jun 11,1988,0.083,1
Jul 29,1988,0.091,1
Aug 14,1988,0.133,1
Oct 1,1988,-0.091,1
Nov 2,1988,-0.03,1
Apr 27,1989,0.038,1
May 13,1989,-0.025,1
Jun 14,1989,0.122,1
Jul 16,1989,0.043,1
Oct 4,1989,0.062,1
Nov 21,1989,-0.188,1
Dec 7,1989,-0.018,1
Jan 8,1990,-0.017,1
Jan 24,1990,-0.006,1
Feb 9,1990,-0.019,1
Feb 9,1990,-0.019,1
Mar 29,1990,-0.025,1
Mar 29,1990,-0.025,1
Apr 14,1990,-0.027,1
Apr 30,1990,-0.027,1
Apr 30,1990,-0.027,1
May 16,1990,0.023,1
Jun 17,1990,0.136,1
Jun 17,1990,0.123,1
Jul 19,1990,0.097,1
Aug 4,1990,0.042,1
Jan 27,1991,0.019,1
Feb 28,1991,0.01,1
Apr 1,1991,-0.028,1
Apr 1,1991,-0.027,1
Apr 17,1991,0.017,1
May 19,1991,0.048,1
Jun 4,1991,0.114,1
Jun 20,1991,0.082,1
Jul 6,1991,0.007,1
Aug 7,1991,0.104,1
Aug 23,1991,0.061,1
Nov 11,1991,-0.019,1
Dec 13,1991,-0.021,1
Dec 13,1991,-0.02,1
Jan 14,1992,-0.016,1
Jan 30,1992,-0.021,1
Jan 30,1992,-0.021,1
Feb 15,1992,0.04,1
Mar 18,1992,-0.034,1
May 5,1992,-0.028,1
May 21,1992,0.027,1
May 21,1992,0.028,1
Jun 6,1992,0.063,1
Jun 6,1992,0.065,1
Jul 8,1992,0.097,1
Jul 24,1992,0.097,1
Aug 9,1992,0.075,1
Oct 28,1992,-0.097,1
Nov 13,1992,-0.029,1
Nov 13,1992,-0.032,1
Dec 15,1992,-0.045,1
Dec 31,1992,-0.022,1
Feb 17,1993,-0.029,1
Feb 17,1993,-0.028,1
Mar 21,1993,0.052,1
May 24,1993,-0.006,1
Jun 25,1993,0.015,1
Aug 28,1993,0.13,1
Oct 31,1993,-0.095,1
Jan 19,1994,-0.001,1
Mar 8,1994,-0.023,1
Mar 24,1994,-0.024,1
Apr 25,1994,-0.004,1
May 27,1994,-0.021,1
May 27,1994,-0.021,1
Jun 28,1994,0.084,1
Jun 28,1994,0.086,1
Jul 14,1994,0.086,1
Aug 15,1994,0.131,1
Oct 2,1994,0.168,1
Dec 21,1994,0.112,1
Feb 7,1995,-0.004,1
Feb 7,1995,-0.004,1
Mar 27,1995,-0.019,1
Apr 28,1995,0.012,1
May 14,1995,-0.028,1
May 14,1995,-0.028,1
May 30,1995,-0.005,1
May 30,1995,-0.008,1
Jun 15,1995,0.109,1
Jun 15,1995,0.109,1
Jul 17,1995,0.103,1
Aug 2,1995,0.078,1
Oct 21,1995,0.098,1
Nov 22,1995,0.012,1
Mar 13,1996,0.065,1
Mar 13,1996,0.058,1
Apr 14,1996,-0.031,1
Apr 14,1996,-0.031,1
May 16,1996,0.085,1
May 16,1996,0.085,1
Jun 1,1996,0.043,1
Jun 17,1996,0.158,1
Jul 3,1996,0.096,1
Jul 19,1996,0.086,1
Aug 4,1996,0.088,1
Jan 27,1997,0.018,1
Feb 12,1997,-0.025,1
Apr 1,1997,0.029,1
Jun 4,1997,0.098,1
Jul 6,1997,0.104,1
Jul 22,1997,0.007,1
Aug 23,1997,0.074,1
Sep 8,1997,0.1,1
Sep 24,1997,-0.017,1
Sep 24,1997,-0.009,1
Mar 3,1998,0.027,1
Mar 19,1998,0.062,1
Apr 4,1998,-0.024,1
May 6,1998,-0.033,1
May 6,1998,-0.033,1
Jun 7,1998,0.131,1
Jun 23,1998,0.013,1
Jul 9,1998,0.095,1
Aug 10,1998,0.055,1
Sep 11,1998,0.128,1
Sep 27,1998,0.026,1
Jan 1,1999,0.047,1
Mar 22,1999,-0.028,1
Apr 23,1999,-0.03,1
May 9,1999,-0.029,1
May 25,1999,-0.01,1
Jun 10,1999,-0.001,1
Jul 12,1999,0.039,1
Jul 28,1999,0.13,1
Aug 5,1999,0.29,1
Aug 13,1999,0.111,1
Aug 21,1999,0.105,1
Sep 6,1999,0.182,1
Sep 14,1999,0.133,1
Sep 14,1999,0.127,1
Sep 30,1999,0.006,1
Nov 9,1999,-0.045,1
Nov 17,1999,-0.126,1
Dec 3,1999,-0.019,1
Dec 11,1999,-0.036,1
Feb 13,2000,-0.001,1
Apr 25,2000,-0.023,1
May 3,2000,-0.038,1
May 11,2000,0.024,1
May 27,2000,-0.015,1
Jun 12,2000,0.12,1
Jun 28,2000,0.137,1
Jul 6,2000,0.183,1
Jul 14,2000,0.059,1
Jul 22,2000,0.319,1
Jul 30,2000,0.068,1
Aug 15,2000,0.111,1
Aug 31,2000,0.165,1
Sep 8,2000,0.069,1
Sep 24,2000,-0.01,1
Nov 11,2000,0.005,1
Nov 19,2000,-0.027,1
Nov 19,2000,-0.026,1
Dec 5,2000,-0.033,1
Dec 13,2000,-0.011,1
Dec 21,2000,-0.035,1
Jan 22,2001,0.031,1
Apr 4,2001,-0.036,1
Apr 12,2001,-0.018,1
Apr 20,2001,-0.033,1
Apr 28,2001,-0.005,1
May 6,2001,0.133,1
May 22,2001,0.082,1
Jun 15,2001,0.055,1
Jun 23,2001,0.396,1
Jul 1,2001,0.12,1
Jul 17,2001,0.115,1
Jul 25,2001,0.11,1
Aug 2,2001,0.045,1
Aug 18,2001,0.11,1
Aug 26,2001,0.013,1
Sep 19,2001,-0.028,1
Jan 9,2002,-0.016,1
Jan 17,2002,-0.027,1
Jan 17,2002,-0.026,1
Feb 26,2002,-0.005,1
Mar 6,2002,-0.01,1
Mar 22,2002,-0.028,1
Apr 15,2002,0.049,1
Jun 10,2002,-0.011,1
Jun 26,2002,0.126,1
Aug 29,2002,0.084,1
Feb 21,2003,-0.031,1
Mar 9,2003,-0.03,1
Mar 25,2003,-0.028,1
Jul 7,2003,0.083,1
Jul 7,2003,0.082,1
Jul 15,2003,0.116,1
Jul 23,2003,0.091,1
Jul 31,2003,0.14,1
Aug 8,2003,0.043,1
Aug 16,2003,-0.031,1
Oct 19,2003,0.093,1
Nov 4,2003,0.033,1
Nov 12,2003,-0.158,1
Jan 23,2004,-0.025,1
