id_district;male_population;female_population;total_population
1;15000;14500;29500
1;16000;15500;31500
1;17000;16500;33500
1;18000;17500;35500
1;19000;18500;37500
1;20000;19500;39500
1;21000;20500;41500
1;22000;21500;43500
1;23000;22500;45500
1;24000;23500;47500
1;25000;24500;49500
1;26000;25500;51500
1;27000;26500;53500
1;28000;27500;55500
1;29000;28500;57500
1;30000;29500;59500
1;31000;30500;61500
1;15000;14500;29500
1;16000;15500;31500
1;17000;16500;33500
1;18000;17500;35500
1;19000;18500;37500
1;20000;19500;39500
1;21000;20500;41500
1;22000;21500;43500
1;23000;22500;45500
1;24000;23500;47500
1;25000;24500;49500
1;26000;25500;51500
1;27000;26500;53500
1;28000;27500;55500
1;29000;28500;57500
1;30000;29500;59500
1;31000;30500;61500
