system:time_start,NDWI
"Dec 25, 1984",-0.032
"Dec 25, 1984",-0.022
"Aug 6, 1985",0.147
"Sep 7, 1985",0.047
"Apr 19, 1986",0.002
"May 5, 1986",-0.035
"May 5, 1986",-0.029
"Aug 9, 1986",0.07
"Oct 28, 1986",-0.031
"Nov 29, 1986",-0.133
"Dec 15, 1986",-0.104
"Mar 5, 1987",-0.03
"Mar 5, 1987",-0.024
"Apr 6, 1987",-0.028
"May 24, 1987",-0.031
"May 24, 1987",-0.028
"Jun 9, 1987",0.05
"Jul 27, 1987",0.02
"Aug 12, 1987",0.138
"Oct 31, 1987",0.046
"Dec 18, 1987",-0.033
"Jan 3, 1988",-0.03
"Feb 4, 1988",-0.019
"Mar 23, 1988",-0.023
"Apr 8, 1988",-0.031
"May 10, 1988",-0.003
"Jun 11, 1988",0.07
"Jul 29, 1988",0.099
"Aug 14, 1988",0.102
"Oct 1, 1988",-0.176
"Nov 2, 1988",-0.032
"Apr 27, 1989",-0.018
"May 13, 1989",-0.033
"Jun 14, 1989",0.1
"Jul 16, 1989",0.035
"Oct 4, 1989",0.062
"Nov 21, 1989",-0.167
"Dec 7, 1989",-0.04
"Jan 8, 1990",-0.023
"Jan 24, 1990",-0.029
"Feb 9, 1990",-0.035
"Feb 9, 1990",-0.031
"Mar 29, 1990",-0.034
"Mar 29, 1990",-0.031
"Apr 14, 1990",-0.029
"Apr 30, 1990",-0.029
"Apr 30, 1990",-0.027
"May 16, 1990",0.075
"Jun 17, 1990",0.122
"Jun 17, 1990",0.109
"Jul 19, 1990",0.105
"Aug 4, 1990",0.021
"Jan 27, 1991",0.027
"Feb 28, 1991",0.001
"Apr 1, 1991",-0.039
"Apr 1, 1991",-0.035
"Apr 17, 1991",-0.012
"May 19, 1991",0.046
"Jun 4, 1991",0.109
"Jun 20, 1991",0.106
"Jul 6, 1991",-0.013
"Aug 7, 1991",0.093
"Aug 23, 1991",0.059
"Nov 11, 1991",-0.133
"Dec 13, 1991",-0.039
"Dec 13, 1991",-0.036
"Jan 14, 1992",-0.023
"Jan 30, 1992",-0.032
"Jan 30, 1992",-0.028
"Feb 15, 1992",0.043
"Mar 18, 1992",-0.034
"May 5, 1992",-0.034
"May 21, 1992",0.014
"May 21, 1992",0.017
"Jun 6, 1992",0.093
"Jun 6, 1992",0.088
"Jul 8, 1992",0.102
"Jul 24, 1992",0.104
"Aug 9, 1992",0.062
"Oct 28, 1992",-0.236
"Nov 13, 1992",-0.038
"Nov 13, 1992",-0.037
"Dec 15, 1992",-0.076
"Dec 31, 1992",-0.035
"Feb 17, 1993",-0.038
"Feb 17, 1993",-0.034
"Mar 21, 1993",0.071
"May 24, 1993",0.017
"Jun 25, 1993",0.019
"Aug 28, 1993",0.165
"Oct 31, 1993",-0.061
"Jan 19, 1994",-0.029
"Mar 8, 1994",-0.032
"Mar 24, 1994",-0.024
"Apr 25, 1994",-0.021
"May 27, 1994",-0.028
"May 27, 1994",-0.027
"Jun 28, 1994",0.072
"Jun 28, 1994",0.075
"Jul 14, 1994",0.09
"Aug 15, 1994",0.102
"Oct 2, 1994",0.158
"Dec 21, 1994",0.129
"Feb 7, 1995",-0.024
"Feb 7, 1995",-0.018
"Mar 27, 1995",-0.029
"Apr 28, 1995",-0.01
"May 14, 1995",-0.033
"May 14, 1995",-0.03
"May 30, 1995",0.012
"May 30, 1995",0.011
"Jun 15, 1995",0.133
"Jun 15, 1995",0.133
"Jul 17, 1995",0.102
"Aug 2, 1995",0.092
"Oct 21, 1995",0.047
"Nov 22, 1995",-0.016
"Mar 13, 1996",0.04
"Mar 13, 1996",0.042
"Apr 14, 1996",-0.037
"Apr 14, 1996",-0.036
"May 16, 1996",0.014
"May 16, 1996",0.019
"Jun 1, 1996",-0.002
"Jun 17, 1996",0.119
"Jul 3, 1996",0.118
"Jul 19, 1996",0.09
"Aug 4, 1996",0.088
"Jan 27, 1997",-0.005
"Feb 12, 1997",-0.028
"Apr 1, 1997",0.032
"Jun 4, 1997",0.108
"Jul 6, 1997",0.119
"Jul 22, 1997",0.009
"Aug 23, 1997",0.064
"Sep 8, 1997",0.118
"Sep 24, 1997",-0.026
"Sep 24, 1997",-0.022
"Mar 3, 1998",0.098
"Mar 19, 1998",0.092
"Apr 4, 1998",-0.017
"May 6, 1998",-0.039
"May 6, 1998",-0.033
"Jun 7, 1998",0.14
"Jun 23, 1998",0.009
"Jul 9, 1998",0.098
"Aug 10, 1998",0.059
"Sep 11, 1998",0.101
"Sep 27, 1998",-0.032
"Mar 22, 1999",-0.03
"Apr 23, 1999",-0.028
"May 9, 1999",-0.032
"May 25, 1999",-0.023
"Jun 10, 1999",-0.016
"Jul 12, 1999",0.037
"Jul 28, 1999",0.142
"Aug 5, 1999",0.379
"Aug 13, 1999",0.135
"Aug 21, 1999",0.132
"Sep 6, 1999",0.088
"Sep 14, 1999",0.132
"Sep 14, 1999",0.123
"Sep 30, 1999",-0.005
"Nov 9, 1999",-0.078
"Nov 17, 1999",-0.274
"Dec 3, 1999",-0.024
"Dec 11, 1999",-0.039
"Feb 13, 2000",0.001
"Apr 25, 2000",-0.029
"May 3, 2000",-0.048
"May 11, 2000",-0.006
"May 27, 2000",0.017
"May 27, 2000",-0.009
"Jun 12, 2000",0.119
"Jun 28, 2000",0.116
"Jul 6, 2000",0.294
"Jul 14, 2000",0.074
"Jul 22, 2000",0.389
"Jul 30, 2000",0.075
"Aug 15, 2000",0.116
"Aug 31, 2000",0.177
"Sep 8, 2000",0.058
"Sep 24, 2000",-0.009
"Nov 11, 2000",0.036
"Nov 19, 2000",-0.042
"Nov 19, 2000",-0.041
"Dec 5, 2000",-0.038
"Dec 13, 2000",-0.026
"Dec 21, 2000",-0.046
"Jan 22, 2001",-0.019
"Apr 4, 2001",-0.051
"Apr 12, 2001",-0.032
"Apr 20, 2001",-0.047
"Apr 28, 2001",-0.02
"May 6, 2001",0.099
"May 22, 2001",0.076
"Jun 15, 2001",0.013
"Jun 23, 2001",0.265
"Jul 1, 2001",0.116
"Jul 17, 2001",0.113
"Jul 25, 2001",0.206
"Aug 2, 2001",0.024
"Aug 18, 2001",0.109
"Aug 26, 2001",-0.013
"Sep 19, 2001",-0.013
"Jan 9, 2002",-0.032
"Jan 17, 2002",-0.039
"Jan 17, 2002",-0.037
"Feb 26, 2002",-0.034
"Mar 6, 2002",0.001
"Mar 22, 2002",-0.044
"Apr 15, 2002",0.075
"Jun 10, 2002",-0.021
"Jun 26, 2002",0.122
"Aug 29, 2002",0.084
"Feb 21, 2003",-0.048
"Mar 9, 2003",-0.045
"Mar 25, 2003",-0.045
"Jul 7, 2003",0.081
"Jul 7, 2003",0.084
"Jul 15, 2003",0.108
"Jul 23, 2003",0.092
"Jul 31, 2003",0.157
"Aug 8, 2003",0.045
"Aug 16, 2003",-0.045
"Oct 19, 2003",0.193
"Nov 4, 2003",0.004
"Nov 12, 2003",-0.287
"Jan 23, 2004",-0.04
"Jan 31, 2004",-0.032
"Feb 24, 2004",-0.042
"Mar 3, 2004",-0.021
"Apr 4, 2004",-0.032
"Apr 12, 2004",0.078
"Apr 20, 2004",-0.008
"May 6, 2004",-0.021
"May 6, 2004",-0.014
"May 14, 2004",0.014
"May 22, 2004",0.084
"May 22, 2004",0.086
"May 30, 2004",0.394
"Jun 15, 2004",0.079
"Jul 9, 2004",0.098
"Aug 2, 2004",0.149
"Aug 26, 2004",0.087
"Dec 8, 2004",-0.024
"Jan 17, 2005",-0.02
"Jan 17, 2005",-0.028
"Jan 25, 2005",-0.031
"Feb 10, 2005",0.087
"Mar 14, 2005",0.113
"Mar 22, 2005",-0.032
"Apr 7, 2005",-0.028
"Apr 15, 2005",-0.045
"Apr 23, 2005",-0.009
"May 1, 2005",-0.041
"May 9, 2005",0.063
"May 25, 2005",-0.012
"Jun 2, 2005",0.088
"Jun 10, 2005",0.077
"Jun 18, 2005",-0.016
"Jun 26, 2005",0.148
"Jul 4, 2005",0.079
"Jul 12, 2005",0.125
"Jul 28, 2005",0.117
"Aug 13, 2005",0.122
"Aug 21, 2005",0.13
"Aug 29, 2005",0.118
"Sep 6, 2005",0.09
"Nov 17, 2005",-0.15
"Jan 28, 2006",-0.034
"Feb 13, 2006",-0.043
"Mar 9, 2006",-0.033
"Apr 26, 2006",-0.03
"May 12, 2006",-0.031
"May 12, 2006",-0.026
"May 20, 2006",-0.035
"May 20, 2006",-0.035
"May 28, 2006",0.004
"Jun 5, 2006",0.003
"Jul 7, 2006",0.188
"Jul 23, 2006",0.226
"Aug 8, 2006",0.136
"Sep 9, 2006",0.109
"Oct 11, 2006",0.124
"Oct 19, 2006",-0.218
"Jan 31, 2007",-0.042
"Feb 16, 2007",0.067
"Feb 24, 2007",-0.032
"Apr 21, 2007",-0.046
"Apr 21, 2007",-0.042
"May 7, 2007",-0.037
"May 15, 2007",-0.028
"May 15, 2007",-0.019
"Jun 8, 2007",-0.01
"Jun 16, 2007",0.002
"Jul 2, 2007",0.055
"Aug 3, 2007",0.114
"Mar 30, 2008",-0.035
"Apr 7, 2008",-0.046
"Apr 7, 2008",-0.042
"Apr 15, 2008",-0.035
"Apr 23, 2008",-0.042
"Apr 23, 2008",-0.039
"May 1, 2008",-0.038
"May 17, 2008",0.121
"May 25, 2008",0.002
"Jun 18, 2008",0.086
"Jun 26, 2008",0.113
"Jul 4, 2008",0.039
"Jul 12, 2008",0.11
"Jul 20, 2008",0.08
"Sep 22, 2008",0.015
"Nov 1, 2008",0.217
"Nov 9, 2008",-0.02
"Nov 9, 2008",-0.018
"Dec 3, 2008",-0.013
"Dec 3, 2008",-0.008
"Dec 11, 2008",-0.138
"Dec 27, 2008",-0.023
"Feb 5, 2009",-0.042
"Mar 17, 2009",0.125
"Mar 17, 2009",0.109
"Mar 25, 2009",-0.037
"Apr 2, 2009",-0.03
"Apr 10, 2009",-0.041
"Apr 26, 2009",-0.036
"May 4, 2009",-0.029
"May 12, 2009",-0.007
"May 28, 2009",0.185
"Jun 5, 2009",0.108
"Jun 29, 2009",0.089
"Jul 15, 2009",0.123
"Jul 31, 2009",0.116
