system:time_start,NDVI
"Dec 25, 1984",0.033
"Dec 25, 1984",0.033
"Aug 6, 1985",0
"Sep 7, 1985",0.005
"Apr 19, 1986",0.029
"May 5, 1986",0.038
"May 5, 1986",0.039
"Aug 9, 1986",-0.001
"Oct 28, 1986",0.038
"Nov 29, 1986",-0.085
"Dec 15, 1986",0.004
"Mar 5, 1987",0.037
"Mar 5, 1987",0.038
"Apr 6, 1987",0.034
"May 24, 1987",0.037
"May 24, 1987",0.037
"Jun 9, 1987",0.005
"Jul 27, 1987",0.003
"Aug 12, 1987",0.001
"Oct 31, 1987",-0.12
"Dec 18, 1987",0.037
"Jan 3, 1988",0.052
"Feb 4, 1988",0.031
"Mar 23, 1988",0.038
"Apr 8, 1988",0.039
"May 10, 1988",0.007
"Jun 11, 1988",-0
"Jul 29, 1988",0.005
"Aug 14, 1988",-0.01
"Oct 1, 1988",-0.074
"Nov 2, 1988",0.041
"Apr 27, 1989",0.007
"May 13, 1989",0.036
"Jun 14, 1989",-0.005
"Jul 16, 1989",-0.002
"Oct 4, 1989",0.006
"Nov 21, 1989",-0.212
"Dec 7, 1989",0.044
"Jan 8, 1990",0.029
"Jan 24, 1990",0.03
"Feb 9, 1990",0.036
"Feb 9, 1990",0.037
"Mar 29, 1990",0.038
"Mar 29, 1990",0.038
"Apr 14, 1990",0.04
"Apr 30, 1990",0.034
"Apr 30, 1990",0.035
"May 16, 1990",0
"Jun 17, 1990",-0.008
"Jun 17, 1990",-0.002
"Jul 19, 1990",0.002
"Aug 4, 1990",0.003
"Jan 27, 1991",0.006
"Feb 28, 1991",0.011
"Apr 1, 1991",0.043
"Apr 1, 1991",0.043
"Apr 17, 1991",0.012
"May 19, 1991",0.008
"Jun 4, 1991",0
"Jun 20, 1991",0.004
"Jul 6, 1991",0.013
"Aug 7, 1991",0.006
"Aug 23, 1991",0.012
"Nov 11, 1991",0.004
"Dec 13, 1991",0.037
"Dec 13, 1991",0.035
"Jan 14, 1992",0.029
"Jan 30, 1992",0.031
"Jan 30, 1992",0.031
"Feb 15, 1992",-0.03
"Mar 18, 1992",0.033
"May 5, 1992",0.037
"May 21, 1992",-0.002
"May 21, 1992",-0.002
"Jun 6, 1992",-0.003
"Jun 6, 1992",-0.004
"Jul 8, 1992",0.001
"Jul 24, 1992",-0.001
"Aug 9, 1992",0.011
"Oct 28, 1992",-0.198
"Nov 13, 1992",0.029
"Nov 13, 1992",0.03
"Dec 15, 1992",-0.011
"Dec 31, 1992",0.033
"Feb 17, 1993",0.038
"Feb 17, 1993",0.039
"Mar 21, 1993",-0.006
"May 24, 1993",0.01
"Jun 25, 1993",0.03
"Aug 28, 1993",-0.021
"Oct 31, 1993",0.005
"Jan 19, 1994",0.039
"Mar 8, 1994",0.042
"Mar 24, 1994",0.01
"Apr 25, 1994",0.029
"May 27, 1994",0.037
"May 27, 1994",0.038
"Jun 28, 1994",-0.002
"Jun 28, 1994",0
"Jul 14, 1994",0.008
"Aug 15, 1994",-0.008
"Oct 2, 1994",-0.212
"Dec 21, 1994",-0.253
"Feb 7, 1995",0.022
"Feb 7, 1995",0.024
"Mar 27, 1995",0.028
"Apr 28, 1995",0.019
"May 14, 1995",0.039
"May 14, 1995",0.04
"May 30, 1995",0.006
"May 30, 1995",0.008
"Jun 15, 1995",-0
"Jun 15, 1995",0.001
"Jul 17, 1995",
"Aug 2, 1995",0.006
