fecha,año,NDWI
Dec 25, 1984,-0.028
Dec 25, 1984,-0.028
Aug 6, 1985,0.14
Sep 7, 1985,0.021
Apr 19, 1986,-0.006
May 5, 1986,-0.037
May 5, 1986,-0.037
Aug 9, 1986,0.055
Oct 28, 1986,-0.033
Nov 29, 1986,-0.063
Dec 15, 1986,-0.025
Mar 5, 1987,-0.032
Mar 5, 1987,-0.031
Apr 6, 1987,-0.032
May 24, 1987,-0.032
May 24, 1987,-0.032
Jun 9, 1987,0.052
Jul 27, 1987,0.051
Aug 12, 1987,0.142
Oct 31, 1987,0.09
Dec 18, 1987,-0.037
Jan 3, 1988,-0.031
Feb 4, 1988,-0.026
Mar 23, 1988,-0.03
Apr 8, 1988,-0.041
May 10, 1988,0.001
Jun 11, 1988,0.064
Jul 29, 1988,0.097
Aug 14, 1988,0.12
Oct 1, 1988,-0.09
Nov 2, 1988,-0.032
Apr 27, 1989,0.015
May 13, 1989,-0.034
Jun 14, 1989,0.122
Jul 16, 1989,0.052
Oct 4, 1989,0.041
Nov 21, 1989,-0.145
Dec 7, 1989,-0.035
Jan 8, 1990,-0.025
Jan 24, 1990,-0.025
Feb 9, 1990,-0.033
Feb 9, 1990,-0.033
Mar 29, 1990,-0.034
Mar 29, 1990,-0.034
Apr 14, 1990,-0.034
Apr 30, 1990,-0.035
Apr 30, 1990,-0.035
May 16, 1990,0.053
Jun 17, 1990,0.128
Jun 17, 1990,0.115
Jul 19, 1990,0.093
Aug 4, 1990,0.034
Jan 27, 1991,0.011
Feb 28, 1991,0
Apr 1, 1991,-0.04
Apr 1, 1991,-0.039
Apr 17, 1991,-0.014
May 19, 1991,0.038
Jun 4, 1991,0.119
Jun 20, 1991,0.1
Jul 6, 1991,-0.016
Aug 7, 1991,0.091
Aug 23, 1991,0.073
Nov 11, 1991,-0.028
Dec 13, 1991,-0.037
Dec 13, 1991,-0.036
Jan 14, 1992,-0.03
Jan 30, 1992,-0.03
Jan 30, 1992,-0.03
Feb 15, 1992,0.06
Mar 18, 1992,-0.006
May 5, 1992,-0.037
May 21, 1992,0.022
May 21, 1992,0.023
Jun 6, 1992,0.093
Jun 6, 1992,0.095
Jul 8, 1992,0.1
Jul 24, 1992,0.105
Aug 9, 1992,0.085
Oct 28, 1992,-0.148
Nov 13, 1992,-0.034
Nov 13, 1992,-0.038
Dec 15, 1992,-0.061
Dec 31, 1992,-0.032
Feb 17, 1993,-0.038
Feb 17, 1993,-0.037
Mar 21, 1993,0.054
May 24, 1993,0.024
Jun 25, 1993,0.023
Aug 28, 1993,0.142
Oct 31, 1993,-0.109
Jan 19, 1994,-0.035
Mar 8, 1994,-0.036
Mar 24, 1994,-0.001
Apr 25, 1994,-0.022
May 27, 1994,-0.03
May 27, 1994,-0.03
Jun 28, 1994,0.093
Jun 28, 1994,0.092
Jul 14, 1994,0.105
Aug 15, 1994,0.116
Oct 2, 1994,0.188
Dec 21, 1994,0.103
Feb 7, 1995,-0.014
Feb 7, 1995,-0.014
Mar 27, 1995,-0.027
Apr 28, 1995,-0.012
May 14, 1995,-0.037
May 14, 1995,-0.037
May 30, 1995,0.007
May 30, 1995,0.007
Jun 15, 1995,0.127
Jun 15, 1995,0.127
Jul 17, 1995,
Aug 2, 1995,0.079
Oct 21, 1995,0.065
Nov 22, 1995,-0.007
Mar 13, 1996,0.057
Mar 13, 1996,0.055
Apr 14, 1996,-0.042
Apr 14, 1996,-0.042
May 16, 1996,0.037
May 16, 1996,0.037
Jun 1, 1996,0.003
Jun 17, 1996,0.105
Jul 3, 1996,0.122
Jul 19, 1996,0.092
Aug 4, 1996,0.093
Jan 27, 1997,0.012
Feb 12, 1997,-0.035
Apr 1, 1997,0.02
Jun 4, 1997,0.136
Jul 6, 1997,0.097
Jul 22, 1997,0.013
Aug 23, 1997,0.037
Sep 8, 1997,0.108
Sep 24, 1997,-0.024
Sep 24, 1997,-0.01
Mar 3, 1998,0.068
Mar 19, 1998,0.062
Apr 4, 1998,-0.031
May 6, 1998,-0.041
May 6, 1998,-0.041
Jun 7, 1998,0.135
Jun 23, 1998,0.022
Jul 9, 1998,0.109
Aug 10, 1998,0.063
Sep 11, 1998,0.117
Sep 27, 1998,-0.055
Jan 1, 1999,-0.015
Mar 22, 1999,-0.038
Apr 23, 1999,-0.039
May 9, 1999,-0.039
May 25, 1999,-0.02
Jun 10, 1999,-0.019
Jul 12, 1999,0.026
Jul 28, 1999,0.146
Aug 5, 1999,0.343
Aug 13, 1999,0.119
Aug 21, 1999,0.1
Sep 6, 1999,0.24
Sep 14, 1999,0.144
Sep 14, 1999,0.139
Sep 30, 1999,-0.001
Nov 9, 1999,-0.062
Nov 17, 1999,-0.168
Dec 3, 1999,-0.008
Dec 11, 1999,-0.043
Feb 13, 2000,-0.005
Apr 25, 2000,-0.031
May 3, 2000,-0.05
May 11, 2000,-0.012
May 27, 2000,-0.017
Jun 12, 2000,0.117
Jun 28, 2000,0.128
Jul 6, 2000,0.328
Jul 14, 2000,0.077
Jul 22, 2000,0.328
Jul 30, 2000,0.072
Aug 15, 2000,0.121
Aug 31, 2000,0.174
Sep 8, 2000,0.078
Sep 24, 2000,-0.019
Nov 11, 2000,0.036
Nov 19, 2000,-0.042
Nov 19, 2000,-0.043
Dec 5, 2000,-0.043
Dec 13, 2000,-0.026
Dec 21, 2000,-0.045
Jan 22, 2001,-0.003
Apr 4, 2001,-0.05
Apr 12, 2001,-0.034
Apr 20, 2001,-0.05
Apr 28, 2001,-0.015
May 6, 2001,0.118
May 22, 2001,0.091
Jun 15, 2001,0.024
Jun 23, 2001,0.382
Jul 1, 2001,0.124
Jul 17, 2001,0.107
Jul 25, 2001,0.107
Aug 2, 2001,0.043
Aug 18, 2001,0.117
Aug 26, 2001,0.005
Sep 19, 2001,-0.15
Jan 9, 2002,-0.031
Jan 17, 2002,-0.042
Jan 17, 2002,-0.041
Feb 26, 2002,-0.03
Mar 6, 2002,-0.038
Mar 22, 2002,-0.044
Apr 15, 2002,0.036
Jun 10, 2002,-0.018
Jun 26, 2002,0.125
Aug 29, 2002,0.085
Feb 21, 2003,-0.048
Mar 9, 2003,-0.046
Mar 25, 2003,-0.045
Jul 7, 2003,0.071
Jul 7, 2003,0.069
Jul 15, 2003,0.104
Jul 23, 2003,0.085
Jul 31, 2003,0.155
Aug 8, 2003,0.046
Aug 16, 2003,-0.047
Oct 19, 2003,0.121
Nov 4, 2003,0.031
Nov 12, 2003,-0.291
Jan 23, 2004,-0.04
Jan 31, 2004,-0.034
Feb 24, 2004,-0.045
Mar 3, 2004,-0.026
Apr 4, 2004,-0.04
Apr 12, 2004,-0.025
Apr 20, 2004,-0.015
May 6, 2004,0.022
May 6, 2004,0.023
May 14, 2004,0.055
May 22, 2004,0.084
May 22, 2004,0.082
May 30, 2004,0.393
Jun 15, 2004,0.125
Jul 9, 2004,0.103
Aug 2, 2004,0.139
Aug 26, 2004,0.115
Dec 8, 2004,-0.016
Jan 17, 2005,-0.027
Jan 17, 2005,-0.028
Jan 25, 2005,-0.034
Feb 10, 2005,0.066
Mar 14, 2005,0.096
Mar 22, 2005,-0.041
Apr 7, 2005,-0.038
Apr 15, 2005,-0.047
Apr 23, 2005,0.007
May 1, 2005,-0.042
May 9, 2005,0.044
May 25, 2005,-0.011
Jun 2, 2005,0.1
Jun 10, 2005,0.096
Jun 18, 2005,0.026
Jun 26, 2005,0.14
Jul 4, 2005,0.096
Jul 12, 2005,0.133
Jul 28, 2005,0.082
Aug 13, 2005,0.103
Aug 21, 2005,0.107
Aug 29, 2005,0.111
Sep 6, 2005,0.11
Nov 17, 2005,-0.175
Jan 28, 2006,-0.019
Feb 13, 2006,-0.029
Mar 9, 2006,-0.043
Apr 26, 2006,-0.037
May 12, 2006,-0.011
May 12, 2006,-0.011
May 20, 2006,-0.038
May 20, 2006,-0.038
May 28, 2006,0.009
Jun 5, 2006,0.039
Jul 7, 2006,0.161
Jul 23, 2006,0.185
Aug 8, 2006,0.134
Sep 9, 2006,0.099
Oct 11, 2006,0.092
Oct 19, 2006,-0.181
Jan 31, 2007,-0.042
Feb 16, 2007,0.072
Feb 24, 2007,-0.038
Apr 21, 2007,-0.049
