fecha,año,NDWI,id_district
Dec 25, 1984,-0.028,3
Dec 25, 1984,-0.028,3
Aug 6, 1985,0.14,3
Sep 7, 1985,0.021,3
Apr 19, 1986,-0.006,3
May 5, 1986,-0.037,3
May 5, 1986,-0.037,3
Aug 9, 1986,0.055,3
Oct 28, 1986,-0.033,3
Nov 29, 1986,-0.063,3
Dec 15, 1986,-0.025,3
Mar 5, 1987,-0.032,3
Mar 5, 1987,-0.031,3
Apr 6, 1987,-0.032,3
May 24, 1987,-0.032,3
May 24, 1987,-0.032,3
Jun 9, 1987,0.052,3
Jul 27, 1987,0.051,3
Aug 12, 1987,0.142,3
Oct 31, 1987,0.09,3
Dec 18, 1987,-0.037,3
Jan 3, 1988,-0.031,3
Feb 4, 1988,-0.026,3
Mar 23, 1988,-0.03,3
Apr 8, 1988,-0.041,3
May 10, 1988,0.001,3
Jun 11, 1988,0.064,3
Jul 29, 1988,0.097,3
Aug 14, 1988,0.12,3
Oct 1, 1988,-0.09,3
Nov 2, 1988,-0.032,3
Apr 27, 1989,0.015,3
May 13, 1989,-0.034,3
Jun 14, 1989,0.122,3
Jul 16, 1989,0.052,3
Oct 4, 1989,0.041,3
Nov 21, 1989,-0.145,3
Dec 7, 1989,-0.035,3
Jan 8, 1990,-0.025,3
Jan 24, 1990,-0.025,3
Feb 9, 1990,-0.033,3
Feb 9, 1990,-0.033,3
Mar 29, 1990,-0.034,3
Mar 29, 1990,-0.034,3
Apr 14, 1990,-0.034,3
Apr 30, 1990,-0.035,3
Apr 30, 1990,-0.035,3
May 16, 1990,0.053,3
Jun 17, 1990,0.128,3
Jun 17, 1990,0.115,3
Jul 19, 1990,0.093,3
Aug 4, 1990,0.034,3
Jan 27, 1991,0.011,3
Feb 28, 1991,0.0,3
Apr 1, 1991,-0.04,3
Apr 1, 1991,-0.039,3
Apr 17, 1991,-0.014,3
May 19, 1991,0.038,3
Jun 4, 1991,0.119,3
Jun 20, 1991,0.1,3
Jul 6, 1991,-0.016,3
Aug 7, 1991,0.091,3
Aug 23, 1991,0.073,3
Nov 11, 1991,-0.028,3
Dec 13, 1991,-0.037,3
Dec 13, 1991,-0.036,3
Jan 14, 1992,-0.03,3
Jan 30, 1992,-0.03,3
Jan 30, 1992,-0.03,3
Feb 15, 1992,0.06,3
Mar 18, 1992,-0.006,3
May 5, 1992,-0.037,3
May 21, 1992,0.022,3
May 21, 1992,0.023,3
Jun 6, 1992,0.093,3
Jun 6, 1992,0.095,3
Jul 8, 1992,0.1,3
Jul 24, 1992,0.105,3
Aug 9, 1992,0.085,3
Oct 28, 1992,-0.148,3
Nov 13, 1992,-0.034,3
Nov 13, 1992,-0.038,3
Dec 15, 1992,-0.061,3
Dec 31, 1992,-0.032,3
Feb 17, 1993,-0.038,3
Feb 17, 1993,-0.037,3
Mar 21, 1993,0.054,3
May 24, 1993,0.024,3
Jun 25, 1993,0.023,3
Aug 28, 1993,0.142,3
Oct 31, 1993,-0.109,3
Jan 19, 1994,-0.035,3
Mar 8, 1994,-0.036,3
Mar 24, 1994,-0.001,3
Apr 25, 1994,-0.022,3
May 27, 1994,-0.03,3
May 27, 1994,-0.03,3
Jun 28, 1994,0.093,3
Jun 28, 1994,0.092,3
Jul 14, 1994,0.105,3
Aug 15, 1994,0.116,3
Oct 2, 1994,0.188,3
Dec 21, 1994,0.103,3
Feb 7, 1995,-0.014,3
Feb 7, 1995,-0.014,3
Mar 27, 1995,-0.027,3
Apr 28, 1995,-0.012,3
May 14, 1995,-0.037,3
May 14, 1995,-0.037,3
May 30, 1995,0.007,3
May 30, 1995,0.007,3
Jun 15, 1995,0.127,3
Jun 15, 1995,0.127,3
Jul 17, 1995,,3
Aug 2, 1995,0.079,3
Oct 21, 1995,0.065,3
Nov 22, 1995,-0.007,3
Mar 13, 1996,0.057,3
Mar 13, 1996,0.055,3
Apr 14, 1996,-0.042,3
Apr 14, 1996,-0.042,3
May 16, 1996,0.037,3
May 16, 1996,0.037,3
Jun 1, 1996,0.003,3
Jun 17, 1996,0.105,3
Jul 3, 1996,0.122,3
Jul 19, 1996,0.092,3
Aug 4, 1996,0.093,3
Jan 27, 1997,0.012,3
Feb 12, 1997,-0.035,3
Apr 1, 1997,0.02,3
Jun 4, 1997,0.136,3
Jul 6, 1997,0.097,3
Jul 22, 1997,0.013,3
Aug 23, 1997,0.037,3
Sep 8, 1997,0.108,3
Sep 24, 1997,-0.024,3
Sep 24, 1997,-0.01,3
Mar 3, 1998,0.068,3
Mar 19, 1998,0.062,3
Apr 4, 1998,-0.031,3
May 6, 1998,-0.041,3
May 6, 1998,-0.041,3
Jun 7, 1998,0.135,3
Jun 23, 1998,0.022,3
Jul 9, 1998,0.109,3
Aug 10, 1998,0.063,3
Sep 11, 1998,0.117,3
Sep 27, 1998,-0.055,3
Jan 1, 1999,-0.015,3
Mar 22, 1999,-0.038,3
Apr 23, 1999,-0.039,3
May 9, 1999,-0.039,3
May 25, 1999,-0.02,3
Jun 10, 1999,-0.019,3
Jul 12, 1999,0.026,3
Jul 28, 1999,0.146,3
Aug 5, 1999,0.343,3
Aug 13, 1999,0.119,3
Aug 21, 1999,0.1,3
Sep 6, 1999,0.24,3
Sep 14, 1999,0.144,3
Sep 14, 1999,0.139,3
Sep 30, 1999,-0.001,3
Nov 9, 1999,-0.062,3
Nov 17, 1999,-0.168,3
Dec 3, 1999,-0.008,3
Dec 11, 1999,-0.043,3
Feb 13, 2000,-0.005,3
Apr 25, 2000,-0.031,3
May 3, 2000,-0.05,3
May 11, 2000,-0.012,3
May 27, 2000,-0.017,3
Jun 12, 2000,0.117,3
Jun 28, 2000,0.128,3
Jul 6, 2000,0.328,3
Jul 14, 2000,0.077,3
Jul 22, 2000,0.328,3
Jul 30, 2000,0.072,3
Aug 15, 2000,0.121,3
Aug 31, 2000,0.174,3
Sep 8, 2000,0.078,3
Sep 24, 2000,-0.019,3
Nov 11, 2000,0.036,3
Nov 19, 2000,-0.042,3
Nov 19, 2000,-0.043,3
Dec 5, 2000,-0.043,3
Dec 13, 2000,-0.026,3
Dec 21, 2000,-0.045,3
Jan 22, 2001,-0.003,3
Apr 4, 2001,-0.05,3
Apr 12, 2001,-0.034,3
Apr 20, 2001,-0.05,3
Apr 28, 2001,-0.015,3
May 6, 2001,0.118,3
May 22, 2001,0.091,3
Jun 15, 2001,0.024,3
Jun 23, 2001,0.382,3
Jul 1, 2001,0.124,3
Jul 17, 2001,0.107,3
Jul 25, 2001,0.107,3
Aug 2, 2001,0.043,3
Aug 18, 2001,0.117,3
Aug 26, 2001,0.005,3
Sep 19, 2001,-0.15,3
Jan 9, 2002,-0.031,3
Jan 17, 2002,-0.042,3
Jan 17, 2002,-0.041,3
Feb 26, 2002,-0.03,3
Mar 6, 2002,-0.038,3
Mar 22, 2002,-0.044,3
Apr 15, 2002,0.036,3
Jun 10, 2002,-0.018,3
Jun 26, 2002,0.125,3
Aug 29, 2002,0.085,3
Feb 21, 2003,-0.048,3
Mar 9, 2003,-0.046,3
Mar 25, 2003,-0.045,3
Jul 7, 2003,0.071,3
Jul 7, 2003,0.069,3
Jul 15, 2003,0.104,3
Jul 23, 2003,0.085,3
Jul 31, 2003,0.155,3
Aug 8, 2003,0.046,3
Aug 16, 2003,-0.047,3
Oct 19, 2003,0.121,3
Nov 4, 2003,0.031,3
Nov 12, 2003,-0.291,3
Jan 23, 2004,-0.04,3
Jan 31, 2004,-0.034,3
Feb 24, 2004,-0.045,3
Mar 3, 2004,-0.026,3
Apr 4, 2004,-0.04,3
Apr 12, 2004,-0.025,3
Apr 20, 2004,-0.015,3
May 6, 2004,0.022,3
May 6, 2004,0.023,3
May 14, 2004,0.055,3
May 22, 2004,0.084,3
May 22, 2004,0.082,3
May 30, 2004,0.393,3
Jun 15, 2004,0.125,3
Jul 9, 2004,0.103,3
Aug 2, 2004,0.139,3
Aug 26, 2004,0.115,3
Dec 8, 2004,-0.016,3
Jan 17, 2005,-0.027,3
Jan 17, 2005,-0.028,3
Jan 25, 2005,-0.034,3
Feb 10, 2005,0.066,3
Mar 14, 2005,0.096,3
Mar 22, 2005,-0.041,3
Apr 7, 2005,-0.038,3
Apr 15, 2005,-0.047,3
Apr 23, 2005,0.007,3
May 1, 2005,-0.042,3
May 9, 2005,0.044,3
May 25, 2005,-0.011,3
Jun 2, 2005,0.1,3
Jun 10, 2005,0.096,3
Jun 18, 2005,0.026,3
Jun 26, 2005,0.14,3
Jul 4, 2005,0.096,3
Jul 12, 2005,0.133,3
Jul 28, 2005,0.082,3
Aug 13, 2005,0.103,3
Aug 21, 2005,0.107,3
Aug 29, 2005,0.111,3
Sep 6, 2005,0.11,3
Nov 17, 2005,-0.175,3
Jan 28, 2006,-0.019,3
Feb 13, 2006,-0.029,3
Mar 9, 2006,-0.043,3
Apr 26, 2006,-0.037,3
May 12, 2006,-0.011,3
May 12, 2006,-0.011,3
May 20, 2006,-0.038,3
May 20, 2006,-0.038,3
May 28, 2006,0.009,3
Jun 5, 2006,0.039,3
Jul 7, 2006,0.161,3
Jul 23, 2006,0.185,3
Aug 8, 2006,0.134,3
Sep 9, 2006,0.099,3
Oct 11, 2006,0.092,3
Oct 19, 2006,-0.181,3
Jan 31, 2007,-0.042,3
Feb 16, 2007,0.072,3
Feb 24, 2007,-0.038,3
Apr 21, 2007,-0.049,3
Apr 21, 2007,-0.048,3
May 7, 2007,-0.039,3
May 15, 2007,-0.019,3
May 15, 2007,-0.018,3
Jun 8, 2007,-0.02,3
Jun 16, 2007,0.054,3
Jul 2, 2007,0.069,3
Aug 3, 2007,0.089,3
Mar 30, 2008,-0.046,3
Apr 7, 2008,-0.049,3
Apr 7, 2008,-0.049,3
Apr 15, 2008,-0.041,3
Apr 23, 2008,-0.042,3
Apr 23, 2008,-0.042,3
May 1, 2008,-0.048,3
May 17, 2008,0.135,3
May 25, 2008,-0.011,3
Jun 18, 2008,0.094,3
Jun 26, 2008,0.161,3
Jul 4, 2008,0.052,3
Jul 12, 2008,0.097,3
Jul 20, 2008,0.1,3
Sep 22, 2008,-0.096,3
Nov 1, 2008,0.145,3
Nov 9, 2008,-0.015,3
Nov 9, 2008,-0.017,3
Dec 3, 2008,0.019,3
Dec 3, 2008,0.018,3
Dec 11, 2008,-0.183,3
Dec 27, 2008,-0.001,3
Feb 5, 2009,-0.044,3
Mar 17, 2009,0.089,3
Mar 17, 2009,0.089,3
Mar 25, 2009,-0.044,3
Apr 2, 2009,-0.041,3
Apr 10, 2009,-0.046,3
Apr 26, 2009,-0.043,3
May 4, 2009,-0.019,3
May 12, 2009,0.011,3
May 28, 2009,0.171,3
Jun 5, 2009,0.105,3
Jun 29, 2009,0.094,3
Jul 15, 2009,0.121,3
Jul 31, 2009,0.104,3
Aug 16, 2009,0.143,3
Sep 9, 2009,0.043,3
Sep 9, 2009,0.023,3
Oct 3, 2009,0.159,3
Oct 11, 2009,-0.242,3
Jan 15, 2010,-0.049,3
Jan 31, 2010,-0.038,3
Mar 28, 2010,-0.048,3
Apr 13, 2010,-0.015,3
Apr 29, 2010,-0.044,3
May 31, 2010,0.086,3
Jun 16, 2010,-0.031,3
Jun 16, 2010,-0.032,3
Jul 2, 2010,0.118,3
Jul 18, 2010,0.316,3
Aug 11, 2010,0.084,3
Aug 19, 2010,0.103,3
Sep 20, 2010,0.061,3
Oct 6, 2010,0.028,3
Oct 22, 2010,0.082,3
Oct 30, 2010,-0.148,3
Oct 30, 2010,-0.164,3
Dec 25, 2010,-0.047,3
Mar 7, 2011,-0.043,3
May 2, 2011,-0.047,3
May 18, 2011,0.049,3
May 18, 2011,0.042,3
May 26, 2011,0.08,3
Jun 3, 2011,0.039,3
Jun 3, 2011,0.03,3
Jun 11, 2011,0.08,3
Jun 19, 2011,0.096,3
Jun 27, 2011,0.115,3
Jul 29, 2011,0.02,3
Aug 6, 2011,0.133,3
Aug 22, 2011,0.125,3
Sep 23, 2011,0.062,3
Nov 10, 2011,0.112,3
Mar 1, 2012,-0.051,3
Mar 17, 2012,-0.05,3
Apr 2, 2012,-0.051,3
May 4, 2012,-0.021,3
Jun 5, 2012,0.113,3
Jun 21, 2012,0.115,3
Jul 23, 2012,0.038,3
Aug 8, 2012,0.111,3
Oct 27, 2012,-0.052,3
Oct 27, 2012,-0.051,3
Nov 12, 2012,0.065,3
Dec 30, 2012,-0.05,3
Feb 16, 2013,-0.046,3
Apr 5, 2013,-0.045,3
Apr 13, 2013,-0.056,3
Apr 21, 2013,-0.032,3
Apr 29, 2013,-0.036,3
May 7, 2013,-0.053,3
May 23, 2013,0.121,3
Jul 10, 2013,0.109,3
Jul 26, 2013,0.159,3
Aug 11, 2013,0.144,3
Aug 19, 2013,-0.001,3
Sep 4, 2013,-0.019,3
Dec 25, 2013,-0.057,3
Feb 11, 2014,-0.057,3
Feb 19, 2014,-0.05,3
Apr 16, 2014,-0.06,3
Apr 16, 2014,-0.052,3
May 10, 2014,0.128,3
May 26, 2014,0.035,3
Jun 3, 2014,-0.005,3
Jun 11, 2014,0.11,3
Jun 19, 2014,-0.002,3
Jun 27, 2014,0.091,3
Jul 5, 2014,-0.005,3
Jul 13, 2014,0.102,3
Jul 21, 2014,0.004,3
Jul 29, 2014,-0.009,3
Aug 14, 2014,0.134,3
Aug 22, 2014,0.005,3
Sep 7, 2014,0.003,3
Oct 17, 2014,-0.054,3
Oct 17, 2014,-0.053,3
Nov 10, 2014,-0.064,3
Nov 10, 2014,-0.057,3
Nov 26, 2014,-0.016,3
Dec 20, 2014,0.028,3
