fecha,año,NDVI
Dec 25, 1984,0.052
Dec 25, 1984,0.052
Aug 6, 1985,0.001
Sep 7, 1985,-0.001
Apr 19, 1986,0.036
May 5, 1986,0.041
May 5, 1986,0.043
Aug 9, 1986,0
Oct 28, 1986,0.06
Nov 29, 1986,-0.111
Dec 15, 1986,-0.016
Mar 5, 1987,0.04
Mar 5, 1987,0.041
Apr 6, 1987,0.033
May 24, 1987,0.034
May 24, 1987,0.035
Jun 9, 1987,0.006
Jul 27, 1987,0.008
Aug 12, 1987,0.001
Oct 31, 1987,-0.064
Dec 18, 1987,0.035
Jan 3, 1988,0.037
Feb 4, 1988,0.027
Mar 23, 1988,0.032
Apr 8, 1988,0.027
May 10, 1988,0.023
Jun 11, 1988,0.003
Jul 29, 1988,0.005
Aug 14, 1988,-0.005
Oct 1, 1988,-0.17
Nov 2, 1988,0.033
Apr 27, 1989,0.026
May 13, 1989,0.029
Jun 14, 1989,-0.003
Jul 16, 1989,0.004
Oct 4, 1989,0.008
Nov 21, 1989,-0.095
Dec 7, 1989,0.048
Jan 8, 1990,0.032
Jan 24, 1990,0.036
Feb 9, 1990,0.035
Feb 9, 1990,0.036
Mar 29, 1990,0.034
Mar 29, 1990,0.035
Apr 14, 1990,0.036
Apr 30, 1990,0.027
Apr 30, 1990,0.027
May 16, 1990,0
Jun 17, 1990,-0.004
Jun 17, 1990,0
Jul 19, 1990,0.002
Aug 4, 1990,0.018
Jan 27, 1991,0.007
Feb 28, 1991,0.028
Apr 1, 1991,0.039
Apr 1, 1991,0.041
Apr 17, 1991,0.025
May 19, 1991,0.008
Jun 4, 1991,0.002
Jun 20, 1991,0.005
Jul 6, 1991,0.011
Aug 7, 1991,0.007
Aug 23, 1991,0.014
Nov 11, 1991,0.006
Dec 13, 1991,0.041
Dec 13, 1991,0.041
Jan 14, 1992,0.023
Jan 30, 1992,0.035
Jan 30, 1992,0.036
Feb 15, 1992,-0.151
Mar 18, 1992,0.036
May 5, 1992,0.042
May 21, 1992,0.003
May 21, 1992,0.002
Jun 6, 1992,-0.002
Jun 6, 1992,-0.003
Jul 8, 1992,0.002
Jul 24, 1992,-0
Aug 9, 1992,0.014
Oct 28, 1992,-0.063
Nov 13, 1992,0.035
Nov 13, 1992,0.035
Dec 15, 1992,-0.006
Dec 31, 1992,0.036
Feb 17, 1993,0.037
Feb 17, 1993,0.038
Mar 21, 1993,-0.001
May 24, 1993,0.008
Jun 25, 1993,0.029
Aug 28, 1993,-0.065
Oct 31, 1993,0.029
Jan 19, 1994,0.031
Mar 8, 1994,0.039
Mar 24, 1994,0.011
Apr 25, 1994,0.029
May 27, 1994,0.03
May 27, 1994,0.031
Jun 28, 1994,-0.001
Jun 28, 1994,0.001
Jul 14, 1994,0.009
