fecha,año,NDWI
Dec 25, 1984,-0.069
Dec 25, 1984,-0.064
Aug 6, 1985,0.127
Sep 7, 1985,0.035
Apr 19, 1986,-0.031
May 5, 1986,-0.064
May 5, 1986,-0.062
Aug 9, 1986,0.065
Oct 28, 1986,-0.05
Nov 29, 1986,-0.163
Dec 15, 1986,-0.085
Mar 5, 1987,-0.056
Mar 5, 1987,-0.053
Apr 6, 1987,-0.054
May 24, 1987,-0.05
May 24, 1987,-0.048
Jun 9, 1987,0.039
Jul 27, 1987,0.029
Aug 12, 1987,0.129
Oct 31, 1987,0.104
Dec 18, 1987,-0.058
Jan 3, 1988,-0.063
Feb 4, 1988,-0.044
Mar 23, 1988,-0.048
Apr 8, 1988,-0.051
May 10, 1988,-0.04
Jun 11, 1988,0.052
Jul 29, 1988,0.105
Aug 14, 1988,0.095
Oct 1, 1988,-0.121
Nov 2, 1988,-0.039
Apr 27, 1989,-0.042
May 13, 1989,-0.051
Jun 14, 1989,0.092
Jul 16, 1989,0.022
Oct 4, 1989,0.065
Nov 21, 1989,-0.069
Dec 7, 1989,-0.074
Jan 8, 1990,-0.053
Jan 24, 1990,-0.062
Feb 9, 1990,-0.061
Feb 9, 1990,-0.061
Mar 29, 1990,-0.055
Mar 29, 1990,-0.054
Apr 14, 1990,-0.056
Apr 30, 1990,-0.052
Apr 30, 1990,-0.051
May 16, 1990,0.06
Jun 17, 1990,0.103
Jun 17, 1990,0.1
Jul 19, 1990,0.091
Aug 4, 1990,-0.008
Jan 27, 1991,0.001
Feb 28, 1991,-0.039
Apr 1, 1991,-0.072
Apr 1, 1991,-0.071
Apr 17, 1991,-0.056
May 19, 1991,0.045
Jun 4, 1991,0.119
Jun 20, 1991,0.092
Jul 6, 1991,-0.016
Aug 7, 1991,0.075
Aug 23, 1991,0.063
Nov 11, 1991,-0.149
Dec 13, 1991,-0.07
Dec 13, 1991,-0.07
Jan 14, 1992,-0.044
Jan 30, 1992,-0.065
Jan 30, 1992,-0.066
Feb 15, 1992,0.083
Mar 18, 1992,-0.06
May 5, 1992,-0.069
May 21, 1992,0.011
May 21, 1992,0.015
Jun 6, 1992,0.11
Jun 6, 1992,0.113
Jul 8, 1992,0.083
Jul 24, 1992,0.094
Aug 9, 1992,0.062
Oct 28, 1992,-0.172
Nov 13, 1992,-0.07
Nov 13, 1992,-0.07
Dec 15, 1992,-0.102
Dec 31, 1992,-0.067
Feb 17, 1993,-0.068
Feb 17, 1993,-0.068
Mar 21, 1993,0.033
May 24, 1993,0.04
Jun 25, 1993,0.029
Aug 28, 1993,0.162
Oct 31, 1993,-0.067
Jan 19, 1994,-0.051
Mar 8, 1994,-0.067
Mar 24, 1994,-0.032
Apr 25, 1994,-0.057
May 27, 1994,-0.058
May 27, 1994,-0.059
Jun 28, 1994,0.069
Jun 28, 1994,0.074
Jul 14, 1994,0.089
Aug 15, 1994,0.052
Oct 2, 1994,0.163
Dec 21, 1994,0.07
Feb 7, 1995,-0.055
Feb 7, 1995,-0.054
Mar 27, 1995,-0.065
Apr 28, 1995,-0.054
May 14, 1995,-0.061
May 14, 1995,-0.06
May 30, 1995,0.005
May 30, 1995,0.012
Jun 15, 1995,0.137
Jun 15, 1995,0.144
Jul 17, 1995,0.093
Aug 2, 1995,0.1
Oct 21, 1995,0.005
