fecha,año,NDVI,id_district
Dec 25,1984,0.052,2
Dec 25,1984,0.052,2
Aug 6,1985,0.001,2
Sep 7,1985,-0.001,2
Apr 19,1986,0.036,2
May 5,1986,0.041,2
May 5,1986,0.043,2
Aug 9,1986,0.0,2
Oct 28,1986,0.06,2
Nov 29,1986,-0.111,2
Dec 15,1986,-0.016,2
Mar 5,1987,0.04,2
Mar 5,1987,0.041,2
Apr 6,1987,0.033,2
May 24,1987,0.034,2
May 24,1987,0.035,2
Jun 9,1987,0.006,2
Jul 27,1987,0.008,2
Aug 12,1987,0.001,2
Oct 31,1987,-0.064,2
Dec 18,1987,0.035,2
Jan 3,1988,0.037,2
Feb 4,1988,0.027,2
Mar 23,1988,0.032,2
Apr 8,1988,0.027,2
May 10,1988,0.023,2
Jun 11,1988,0.003,2
Jul 29,1988,0.005,2
Aug 14,1988,-0.005,2
Oct 1,1988,-0.17,2
Nov 2,1988,0.033,2
Apr 27,1989,0.026,2
May 13,1989,0.029,2
Jun 14,1989,-0.003,2
Jul 16,1989,0.004,2
Oct 4,1989,0.008,2
Nov 21,1989,-0.095,2
Dec 7,1989,0.048,2
Jan 8,1990,0.032,2
Jan 24,1990,0.036,2
Feb 9,1990,0.035,2
Feb 9,1990,0.036,2
Mar 29,1990,0.034,2
Mar 29,1990,0.035,2
Apr 14,1990,0.036,2
Apr 30,1990,0.027,2
Apr 30,1990,0.027,2
May 16,1990,0.0,2
Jun 17,1990,-0.004,2
Jun 17,1990,0.0,2
Jul 19,1990,0.002,2
Aug 4,1990,0.018,2
Jan 27,1991,0.007,2
Feb 28,1991,0.028,2
Apr 1,1991,0.039,2
Apr 1,1991,0.041,2
Apr 17,1991,0.025,2
May 19,1991,0.008,2
Jun 4,1991,0.002,2
Jun 20,1991,0.005,2
Jul 6,1991,0.011,2
Aug 7,1991,0.007,2
Aug 23,1991,0.014,2
Nov 11,1991,0.006,2
Dec 13,1991,0.041,2
Dec 13,1991,0.041,2
Jan 14,1992,0.023,2
Jan 30,1992,0.035,2
Jan 30,1992,0.036,2
Feb 15,1992,-0.151,2
Mar 18,1992,0.036,2
May 5,1992,0.042,2
May 21,1992,0.003,2
May 21,1992,0.002,2
Jun 6,1992,-0.002,2
Jun 6,1992,-0.003,2
Jul 8,1992,0.002,2
Jul 24,1992,-0.0,2
Aug 9,1992,0.014,2
Oct 28,1992,-0.063,2
Nov 13,1992,0.035,2
Nov 13,1992,0.035,2
Dec 15,1992,-0.006,2
Dec 31,1992,0.036,2
Feb 17,1993,0.037,2
Feb 17,1993,0.038,2
Mar 21,1993,-0.001,2
May 24,1993,0.008,2
Jun 25,1993,0.029,2
Aug 28,1993,-0.065,2
Oct 31,1993,0.029,2
Jan 19,1994,0.031,2
Mar 8,1994,0.039,2
Mar 24,1994,0.011,2
Apr 25,1994,0.029,2
May 27,1994,0.03,2
May 27,1994,0.031,2
Jun 28,1994,-0.001,2
Jun 28,1994,0.001,2
Jul 14,1994,0.009,2
Aug 15,1994,0.0,2
Oct 2,1994,-0.178,2
Dec 21,1994,-0.251,2
Feb 7,1995,0.031,2
Feb 7,1995,0.032,2
Mar 27,1995,0.029,2
Apr 28,1995,0.024,2
May 14,1995,0.03,2
May 14,1995,0.031,2
May 30,1995,0.008,2
May 30,1995,0.009,2
Jun 15,1995,0.0,2
Jun 15,1995,0.001,2
Jul 17,1995,-0.0,2
Aug 2,1995,0.006,2
Oct 21,1995,-0.103,2
Nov 22,1995,0.011,2
Mar 13,1996,0.029,2
Mar 13,1996,0.03,2
Apr 14,1996,0.036,2
Apr 14,1996,0.037,2
May 16,1996,0.027,2
May 16,1996,0.027,2
Jun 1,1996,0.026,2
Jun 17,1996,0.015,2
Jul 3,1996,0.006,2
Jul 19,1996,0.006,2
Aug 4,1996,0.008,2
Jan 27,1997,0.021,2
Feb 12,1997,0.035,2
Apr 1,1997,0.0,2
Jun 4,1997,0.005,2
Jul 6,1997,0.001,2
Jul 22,1997,0.012,2
Aug 23,1997,-0.036,2
Sep 8,1997,-0.22,2
Sep 24,1997,0.049,2
Sep 24,1997,0.047,2
Mar 3,1998,-0.204,2
Mar 19,1998,-0.069,2
Apr 4,1998,0.051,2
May 6,1998,0.06,2
May 6,1998,0.057,2
Jun 7,1998,0.001,2
Jun 23,1998,0.015,2
Jul 9,1998,-0.005,2
Aug 10,1998,0.005,2
Sep 11,1998,-0.121,2
Sep 27,1998,-0.134,2
Jan 1,1999,0.036,2
Mar 22,1999,0.038,2
Apr 23,1999,0.032,2
May 9,1999,0.031,2
May 25,1999,0.026,2
Jun 10,1999,0.026,2
Jul 12,1999,0.001,2
Jul 28,1999,-0.002,2
Aug 5,1999,-0.011,2
Aug 13,1999,-0.009,2
Aug 21,1999,-0.203,2
Sep 6,1999,-0.011,2
Sep 14,1999,-0.222,2
Sep 14,1999,-0.247,2
Sep 30,1999,0.017,2
Nov 9,1999,-0.002,2
Nov 17,1999,-0.003,2
Dec 3,1999,0.026,2
Dec 11,1999,0.027,2
Feb 13,2000,0.015,2
Apr 25,2000,0.026,2
May 3,2000,0.025,2
May 11,2000,0.019,2
May 27,2000,0.014,2
May 27,2000,0.018,2
Jun 12,2000,-0.01,2
Jun 28,2000,-0.004,2
Jul 6,2000,-0.139,2
Jul 14,2000,-0.008,2
Jul 22,2000,-0.0,2
Jul 30,2000,0.007,2
Aug 15,2000,-0.068,2
Aug 31,2000,-0.217,2
Sep 8,2000,-0.148,2
Sep 24,2000,-0.029,2
Nov 11,2000,-0.21,2
Nov 19,2000,0.036,2
Nov 19,2000,0.037,2
Dec 5,2000,0.036,2
Dec 13,2000,-0.071,2
Dec 21,2000,0.045,2
Jan 22,2001,0.027,2
Apr 4,2001,0.028,2
Apr 12,2001,0.032,2
Apr 20,2001,0.016,2
Apr 28,2001,0.026,2
May 6,2001,-0.148,2
May 22,2001,-0.011,2
Jun 15,2001,0.01,2
Jun 23,2001,0.024,2
Jul 1,2001,-0.007,2
Jul 17,2001,-0.003,2
Jul 25,2001,0.01,2
Aug 2,2001,0.002,2
Aug 18,2001,-0.079,2
Aug 26,2001,0.014,2
Sep 19,2001,-0.231,2
Jan 9,2002,0.04,2
Jan 17,2002,0.03,2
Jan 17,2002,0.032,2
Feb 26,2002,0.033,2
Mar 6,2002,0.028,2
Mar 22,2002,0.029,2
Apr 15,2002,0.001,2
Jun 10,2002,0.022,2
Jun 26,2002,-0.039,2
Aug 29,2002,-0.276,2
Feb 21,2003,0.034,2
Mar 9,2003,0.032,2
Mar 25,2003,0.031,2
Jul 7,2003,-0.009,2
Jul 7,2003,-0.009,2
Jul 15,2003,-0.13,2
Jul 23,2003,-0.007,2
Jul 31,2003,-0.219,2
Aug 8,2003,0.0,2
Aug 16,2003,0.039,2
Oct 19,2003,-0.166,2
Nov 4,2003,-0.064,2
Nov 12,2003,-0.212,2
Jan 23,2004,0.032,2
Jan 31,2004,0.031,2
Feb 24,2004,0.028,2
Mar 3,2004,0.033,2
Apr 4,2004,0.033,2
Apr 12,2004,0.013,2
Apr 20,2004,0.024,2
May 6,2004,0.025,2
May 6,2004,0.03,2
May 14,2004,0.007,2
May 22,2004,0.003,2
May 22,2004,0.005,2
May 30,2004,-0.002,2
