fecha,año,NDWI,id_district
Dec 25,1984,-0.069,2
Dec 25,1984,-0.064,2
Aug 6,1985,0.127,2
Sep 7,1985,0.035,2
Apr 19,1986,-0.031,2
May 5,1986,-0.064,2
May 5,1986,-0.062,2
Aug 9,1986,0.065,2
Oct 28,1986,-0.05,2
Nov 29,1986,-0.163,2
Dec 15,1986,-0.085,2
Mar 5,1987,-0.056,2
Mar 5,1987,-0.053,2
Apr 6,1987,-0.054,2
May 24,1987,-0.05,2
May 24,1987,-0.048,2
Jun 9,1987,0.039,2
Jul 27,1987,0.029,2
Aug 12,1987,0.129,2
Oct 31,1987,0.104,2
Dec 18,1987,-0.058,2
Jan 3,1988,-0.063,2
Feb 4,1988,-0.044,2
Mar 23,1988,-0.048,2
Apr 8,1988,-0.051,2
May 10,1988,-0.04,2
Jun 11,1988,0.052,2
Jul 29,1988,0.105,2
Aug 14,1988,0.095,2
Oct 1,1988,-0.121,2
Nov 2,1988,-0.039,2
Apr 27,1989,-0.042,2
May 13,1989,-0.051,2
Jun 14,1989,0.092,2
Jul 16,1989,0.022,2
Oct 4,1989,0.065,2
Nov 21,1989,-0.069,2
Dec 7,1989,-0.074,2
Jan 8,1990,-0.053,2
Jan 24,1990,-0.062,2
Feb 9,1990,-0.061,2
Feb 9,1990,-0.061,2
Mar 29,1990,-0.055,2
Mar 29,1990,-0.054,2
Apr 14,1990,-0.056,2
Apr 30,1990,-0.052,2
Apr 30,1990,-0.051,2
May 16,1990,0.06,2
Jun 17,1990,0.103,2
Jun 17,1990,0.1,2
Jul 19,1990,0.091,2
Aug 4,1990,-0.008,2
Jan 27,1991,0.001,2
Feb 28,1991,-0.039,2
Apr 1,1991,-0.072,2
Apr 1,1991,-0.071,2
Apr 17,1991,-0.056,2
May 19,1991,0.045,2
Jun 4,1991,0.119,2
Jun 20,1991,0.092,2
Jul 6,1991,-0.016,2
Aug 7,1991,0.075,2
Aug 23,1991,0.063,2
Nov 11,1991,-0.149,2
Dec 13,1991,-0.07,2
Dec 13,1991,-0.07,2
Jan 14,1992,-0.044,2
Jan 30,1992,-0.065,2
Jan 30,1992,-0.066,2
Feb 15,1992,0.083,2
Mar 18,1992,-0.06,2
May 5,1992,-0.069,2
May 21,1992,0.011,2
May 21,1992,0.015,2
Jun 6,1992,0.11,2
Jun 6,1992,0.113,2
Jul 8,1992,0.083,2
Jul 24,1992,0.094,2
Aug 9,1992,0.062,2
Oct 28,1992,-0.172,2
Nov 13,1992,-0.07,2
Nov 13,1992,-0.07,2
Dec 15,1992,-0.102,2
Dec 31,1992,-0.067,2
Feb 17,1993,-0.068,2
Feb 17,1993,-0.068,2
Mar 21,1993,0.033,2
May 24,1993,0.04,2
Jun 25,1993,0.029,2
Aug 28,1993,0.162,2
Oct 31,1993,-0.067,2
Jan 19,1994,-0.051,2
Mar 8,1994,-0.067,2
Mar 24,1994,-0.032,2
Apr 25,1994,-0.057,2
May 27,1994,-0.058,2
May 27,1994,-0.059,2
Jun 28,1994,0.069,2
Jun 28,1994,0.074,2
Jul 14,1994,0.089,2
Aug 15,1994,0.052,2
Oct 2,1994,0.163,2
Dec 21,1994,0.07,2
Feb 7,1995,-0.055,2
Feb 7,1995,-0.054,2
Mar 27,1995,-0.065,2
Apr 28,1995,-0.054,2
May 14,1995,-0.061,2
May 14,1995,-0.06,2
May 30,1995,0.005,2
May 30,1995,0.012,2
Jun 15,1995,0.137,2
Jun 15,1995,0.144,2
Jul 17,1995,0.093,2
Aug 2,1995,0.1,2
Oct 21,1995,0.005,2
Nov 22,1995,-0.027,2
Mar 13,1996,-0.028,2
Mar 13,1996,-0.024,2
Apr 14,1996,-0.064,2
Apr 14,1996,-0.065,2
May 16,1996,-0.047,2
May 16,1996,-0.047,2
Jun 1,1996,-0.042,2
Jun 17,1996,0.088,2
Jul 3,1996,0.089,2
Jul 19,1996,0.09,2
Aug 4,1996,0.091,2
Jan 27,1997,-0.027,2
Feb 12,1997,-0.055,2
Apr 1,1997,0.002,2
Jun 4,1997,0.13,2
Jul 6,1997,0.13,2
Jul 22,1997,0.008,2
Aug 23,1997,0.074,2
Sep 8,1997,0.093,2
Sep 24,1997,-0.013,2
Sep 24,1997,-0.01,2
Mar 3,1998,0.093,2
Mar 19,1998,0.077,2
Apr 4,1998,-0.049,2
May 6,1998,-0.071,2
May 6,1998,-0.074,2
Jun 7,1998,0.126,2
Jun 23,1998,-0.013,2
Jul 9,1998,0.112,2
Aug 10,1998,0.047,2
Sep 11,1998,0.063,2
Sep 27,1998,-0.091,2
Jan 1,1999,-0.046,2
Mar 22,1999,-0.067,2
Apr 23,1999,-0.062,2
May 9,1999,-0.066,2
May 25,1999,-0.046,2
Jun 10,1999,-0.052,2
Jul 12,1999,0.032,2
Jul 28,1999,0.116,2
Aug 5,1999,0.36,2
Aug 13,1999,0.138,2
Aug 21,1999,0.039,2
Sep 6,1999,0.052,2
Sep 14,1999,0.131,2
Sep 14,1999,0.132,2
Sep 30,1999,-0.041,2
Nov 9,1999,-0.071,2
Nov 17,1999,-0.143,2
Dec 3,1999,-0.029,2
Dec 11,1999,-0.071,2
Feb 13,2000,-0.014,2
Apr 25,2000,-0.058,2
May 3,2000,-0.075,2
May 11,2000,-0.052,2
May 27,2000,-0.02,2
May 27,2000,-0.024,2
Jun 12,2000,0.094,2
Jun 28,2000,0.113,2
Jul 6,2000,0.252,2
Jul 14,2000,0.073,2
Jul 22,2000,0.358,2
Jul 30,2000,0.065,2
Aug 15,2000,0.108,2
Aug 31,2000,0.179,2
Sep 8,2000,0.025,2
Sep 24,2000,-0.003,2
Nov 11,2000,0.009,2
Nov 19,2000,-0.075,2
Nov 19,2000,-0.076,2
Dec 5,2000,-0.077,2
Dec 13,2000,-0.015,2
Dec 21,2000,-0.079,2
Jan 22,2001,-0.061,2
Apr 4,2001,-0.078,2
Apr 12,2001,-0.061,2
Apr 20,2001,-0.055,2
Apr 28,2001,-0.053,2
May 6,2001,0.05,2
May 22,2001,0.032,2
Jun 15,2001,-0.039,2
Jun 23,2001,0.193,2
Jul 1,2001,0.112,2
Jul 17,2001,0.085,2
Jul 25,2001,0.214,2
Aug 2,2001,0.027,2
Aug 18,2001,0.094,2
Aug 26,2001,-0.011,2
Sep 19,2001,-0.027,2
Jan 9,2002,-0.062,2
Jan 17,2002,-0.067,2
Jan 17,2002,-0.068,2
Feb 26,2002,-0.064,2
Mar 6,2002,-0.062,2
Mar 22,2002,-0.075,2
Apr 15,2002,0.051,2
Jun 10,2002,-0.055,2
Jun 26,2002,0.113,2
Aug 29,2002,0.094,2
Feb 21,2003,-0.081,2
Mar 9,2003,-0.08,2
Mar 25,2003,-0.079,2
Jul 7,2003,0.095,2
Jul 7,2003,0.093,2
Jul 15,2003,0.095,2
Jul 23,2003,0.091,2
Jul 31,2003,0.138,2
Aug 8,2003,0.045,2
Aug 16,2003,-0.063,2
Oct 19,2003,0.226,2
